feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,true_cluster
-5.659654500863445,-3.7149188926628116,1.1424214872382934,-1.6780164991075426,-4.78942651345311,2.8480160671260273,-6.308223578602718,-4.88853207793295,-3.1335189832651484,-1.0091814582440057,6.999378911846392,-5.556015992698198,-0.7745806956204768,1.7739051439692488,-9.267694750200393,1
-2.4756135714767318,8.904468674520068,4.540572925122774,2.565442338298923,-7.241596977027005,-6.25846975735306,-8.001870821958956,7.049809545414398,1.2814629394949932,3.7510793018124113,-9.020222721792788,9.472180140480763,7.152912766889242,-4.342867808591894,-6.178737677501881,0
-6.811402998003579,-4.803157998317987,2.4231675521704643,-1.1839063285349696,-4.158392846355911,2.9464437820912237,-7.730788967463133,-4.155630265110832,-2.6276941046764692,-1.288316901537787,6.663229691209004,-6.181447886029529,-0.9578168744228313,1.6070934864241508,-8.871648808228928,1
-2.444176148839128,10.281058148505597,4.394454521931005,3.0243772636558512,-7.851261982932396,-7.307236874329386,-9.964042977607944,7.3819203202773895,2.646362778637442,4.221601226005858,-8.60667006610783,8.798853650736582,6.8291270189596895,-6.175193245325562,-6.074159387519064,0
-5.78824925480281,-3.795619562001888,0.264414872404518,-1.4570526460588633,-3.5830914981373714,2.264178521747958,-8.043600823311586,-5.14390509645156,-3.8644730712750537,0.28586433913220244,6.349488696350229,-6.091714663377243,-0.07834521985903448,1.3891473708669637,-8.196402059534277,1
-2.6338548025160327,9.044575660205481,5.107536938587756,1.976212144839282,-8.180682674320538,-7.304059808845938,-8.658627128324795,7.99674558913051,1.5281909473487783,5.9115714555609244,-11.103888569153522,8.947236903193565,6.582425933214217,-5.913817117276769,-7.349214519709854,0
-2.306848171640686,8.963529277043005,4.489851540184203,1.2191173707862795,-7.0571159141875155,-6.542762018664391,-9.186505542876514,7.923992398567324,2.179080261955858,4.415035090139634,-8.877379911243183,8.976792697115894,7.176357284957997,-6.0623991602360565,-6.0918890688029155,0
-3.1838061064877445,8.906091811692697,5.023926500297448,0.8808000661869877,-6.7277489221812985,-6.418703140321489,-7.3488831297003046,6.4621707801185995,1.7426104854419326,4.370781934078092,-8.670382649930666,9.154817938302434,7.607765913601277,-7.303107639615645,-7.366179210355496,0
1.4991224930414613,-5.731945232174868,-9.273399191018528,8.888518115366576,10.466084924703914,5.878685113174506,-4.311500144682279,-8.172187072346425,5.167389168563,-0.8399886561763892,-7.543970000880609,-0.515949762319863,-8.881176035150734,8.714167857520282,-5.6829431755800375,2
-2.194587101945808,9.55944219248415,4.176308216972045,2.844377669368551,-6.788000498178899,-6.119993216476881,-8.996690257890675,8.377345496883652,2.3433751364840076,5.907457175262579,-9.883927407541735,9.561836560112482,5.823591818512309,-6.176656376471453,-5.868551417579663,0
2.6952040287677037,-6.699846527623355,-7.099576383227608,9.889690836667073,9.231394098553146,5.782129194168008,-2.83730288630705,-7.240493173662135,2.556318767183754,-0.3282930698249765,-7.682734130883567,-0.785191022249283,-10.895594265088162,7.9712750858174015,-4.834182436175602,2
-1.7476293322449088,9.89521073799615,4.311910433145883,1.3755072204994185,-5.9633158403133875,-7.305355143070392,-9.553807686776333,6.776355314059425,1.5938095641238463,4.846745239621451,-9.176275975463001,9.970723639046199,6.985956664886902,-6.2282899162317875,-5.80581837113137,0
-1.3624596871926156,9.43674082239531,5.030832398395476,0.517723341008953,-7.434176652940406,-8.348635699565577,-7.901331125178776,8.59204010980729,2.645953616656481,3.372022719329273,-8.402692119191318,9.195593115219719,5.677285391406306,-6.524741190123831,-6.7076259643314575,0
-2.469534806664985,8.885210758876887,3.50974410169128,2.9438228112892455,-7.000111926700745,-7.451112678292468,-7.950085867049799,6.376797964885478,0.7191880880045638,5.1794415131999,-8.07519983444368,9.028520228318767,6.612076809674719,-6.670549558051199,-6.359106615663273,0
-2.1062087860828096,9.480202896185572,3.7834033656396198,1.261372802511477,-7.443057357704221,-7.071214191569225,-8.768578633270867,7.889994212984044,1.3438212753927903,2.880636117759507,-7.863715583518519,8.493034626717941,7.317911794404877,-5.728204284635537,-6.162456143212883,0
2.8997789861863272,-7.483965868639633,-7.7681474525933485,8.913207698306818,9.952329962336183,6.037300598328016,-2.959061257538847,-8.97425420910416,3.4803001851379247,-0.2237823028886794,-9.473321821662234,-0.13331092107416861,-9.627066633594183,8.73413702601064,-3.968469619670884,2
1.8741123733067737,-6.850860378981359,-8.97341817500294,7.320766839002293,10.107308262777401,8.456856216436169,-3.6691077328517965,-8.955158398158957,2.8570296255645076,-0.7064109236947187,-7.250859722425829,-0.323893886217267,-8.709506080992284,6.53530000417205,-4.221150666214763,2
1.5013177161939852,-5.642114793428997,-9.1709502928965,9.506592773654642,8.300826834942772,6.792886047617774,-4.680831871947147,-7.8376162742927145,4.5032213089215265,-1.3569364440533964,-8.38256883170117,0.30098820793414083,-9.985014696884871,7.86301156221786,-4.6120302404030795,2
3.5969692957826123,-6.3498915238196005,-9.159977683517027,9.756403507055158,9.811757415952448,4.844605810147094,-4.735301702146617,-8.138893960834253,2.4177741827069794,0.4754737963693172,-6.901449557472951,-0.1071280754037658,-9.586394820586243,7.706677118088443,-6.395626094376389,2
-3.7539165434446664,8.796369351798475,2.963752818084113,2.176508797737694,-7.0870275452154505,-5.893160056175118,-8.319188388230414,6.209925845748295,1.3515902419698675,4.577983092348276,-8.910646906095923,10.37619777514939,7.6204602442527145,-5.824835874632801,-6.073376158057052,0
-6.633953528058491,-3.6937767627385925,-0.5428790793410272,-1.967384583962386,-4.155531193038146,1.9966939993933888,-6.723396583919782,-1.944323337744223,-2.5934524625916664,-1.5519698724896878,6.838111511666325,-7.277579137088983,-0.8264377685510533,1.372208626322671,-9.297301122015746,1
